rank,name,value,brand,prices,lastValue,month,
27,零跑T03,11710,零跑汽车,7.39 - 8.99,11873,7
28,几何E,11491,几何汽车,8.68 - 13.18,9204,7
29,几何A,11181,几何汽车,12.68 - 20.78,10030,7
30,哪吒U,10851,合众汽车,12.38 - 18.58,9080,7
31,皇冠陆放,9985,一汽丰田,27.58 - 35.28,11742,7
32,ID.4 X,9705,上汽大众,18.93 - 28.63,9715,7
33,蔚来ES6,9343,蔚来,36.80 - 55.40,9936,7
34,花仙子,9318,江汽集团,6.69 - 9.09,8564,7
35,AION V,8907,广汽埃安,18.76 - 26.98,8030,7
36,宝骏KiWi EV,8606,上汽通用五菱,7.78 - 11.38,4870,7
37,启辰D60EV,8258,东风启辰,12.98 - 17.88,9029,7
38,名爵HS新能源,7881,上汽名爵,18.98 - 21.98,7871,7
39,秦新能源,7844,比亚迪,12.99 - 20.99,7264,7
40,骏行,7605,国金汽车,15.98 - 15.98,7625,7
41,飞凡MARVEL R,6911,上汽集团,21.98 - 25.98,4940,7
42,大众ID.3,6532,上汽大众,14.99 - 18.53,8250,7
43,问界M7,6436,金康赛力斯,31.98 - 37.98,0,7
44,红旗E-QM5,6358,一汽红旗,12.28 - 23.98,0,7
45,小鹏P5,6286,小鹏汽车,17.79 - 24.99,9206,7
46,威马E.5,6283,威马汽车,16.01 - 19.01,6148,7
47,ID.6 CROZZ,6240,一汽-大众,23.98 - 33.69,5822,7
48,荣威Ei5,6145,上汽集团,13.98 - 15.38,4824,7
49,蔚来ET7,5599,蔚来,44.80 - 52.60,6822,7
50,几何C,5393,几何汽车,12.98 - 20.78,0,7
1,Model Y,113971,特斯拉中国,31.69 - 41.79,77914,8
2,宏光MINIEV,93830,上汽通用五菱,3.28 - 9.99,105724,8
3,宋PLUS新能源,88975,比亚迪,15.28 - 21.68,81197,8
4,秦PLUS,71747,比亚迪,11.18 - 17.58,65782,8
5,汉,57500,比亚迪,21.48 - 32.98,51852,8
6,海豚,48425,比亚迪,10.28 - 13.08,44474,8
7,Model 3,46129,特斯拉中国,26.67 - 33.99,27268,8
8,元PLUS,41075,比亚迪,13.78 - 16.58,37725,8
9,唐新能源,25873,比亚迪,20.58 - 33.98,22603,8
10,AION Y,24420,广汽埃安,13.76 - 20.26,23542,8
11,问界M5,22192,金康赛力斯,25.98 - 33.18,22968,8
12,哪吒V,22171,合众汽车,7.99 - 12.38,19203,8
13,长安Lumin,22050,长安汽车,4.89 - 6.39,18195,8
14,小蚂蚁,19329,奇瑞新能源,7.39 - 9.40,21526,8
15,驱逐舰05,17826,比亚迪,11.98 - 15.58,16273,8
16,QQ冰淇淋,17266,奇瑞新能源,3.99 - 5.75,18007,8
17,东风风神E70,16102,东风乘用车,14.28 - 15.38,14966,8
18,ZEEKR 001,15442,极氪,29.90 - 38.60,12188,8
19,欧拉好猫,15204,长城新能源,12.99 - 17.10,15418,8
20,赛那SIENNA,14677,广汽丰田,30.98 - 40.58,12962,8
21,零跑T03,12328,零跑汽车,7.39 - 8.99,11710,8
22,几何A,12202,几何汽车,12.68 - 20.78,11181,8
23,几何E,12034,几何汽车,8.68 - 13.18,11491,8
24,哪吒U,11851,合众汽车,12.38 - 18.58,10851,8
25,ID.4 CROZZ,11748,一汽-大众,18.73 - 28.73,14448,8
26,皇冠陆放,11474,一汽丰田,27.58 - 35.28,9985,8
27,花仙子,11406,江汽集团,6.69 - 9.09,9318,8
28,帝豪L 雷神Hi·P,11300,吉利汽车,12.98 - 16.88,11886,8
29,零跑C11,10675,零跑汽车,17.98 - 23.98,12859,8
30,小鹏P7,10379,小鹏汽车,23.99 - 28.59,12142,8
31,理想L9,10123,理想,45.98 - 45.98,0,8
32,问界M7,10082,金康赛力斯,31.98 - 37.98,6436,8
33,东风EV新能源EX1,9707,东风汽车,5.57 - 6.27,14154,8
34,宝骏KiWi EV,9446,上汽通用五菱,7.78 - 11.38,8606,8
35,海豹,9199,比亚迪,20.98 - 28.68,0,8
36,启辰D60EV,8956,东风启辰,12.98 - 17.88,8258,8
37,红旗E-QM5,8616,一汽红旗,12.28 - 23.98,6358,8
38,蔚来ES6,8014,蔚来,36.80 - 55.40,9343,8
39,骏行,7920,国金汽车,15.98 - 15.98,7605,8
40,秦新能源,7280,比亚迪,12.99 - 20.99,7844,8
41,枫叶80V,7034,睿蓝汽车,8.98 - 15.98,0,8
42,奔腾NAT,6851,一汽奔腾,14.58 - 16.48,0,8
43,荣威Ei5,6682,上汽集团,13.98 - 15.38,6145,8
44,AION V,6511,广汽埃安,18.76 - 26.98,8907,8
45,ID.4 X,6494,上汽大众,18.93 - 28.63,9705,8
46,几何C,6229,几何汽车,12.98 - 20.78,5393,8
47,ID.6 CROZZ,6205,一汽-大众,23.98 - 33.69,6240,8
48,蔚来ET7,6054,蔚来,44.80 - 52.60,5599,8
49,理想ONE,5979,理想,33.80 - 33.80,14993,8
50,飞凡MARVEL R,5919,上汽集团,21.98 - 25.98,6911,8
1,宋PLUS新能源,103318,比亚迪,15.28 - 21.68,88975,9
2,Model Y,93290,特斯拉中国,31.69 - 41.79,113971,9
3,宏光MINIEV,92579,上汽通用五菱,3.28 - 9.99,93830,9
4,秦PLUS,68253,比亚迪,11.18 - 17.58,71747,9
5,汉,63111,比亚迪,21.48 - 32.98,57500,9
6,Model 3,61549,特斯拉中国,26.67 - 33.99,46129,9
7,元PLUS,50617,比亚迪,13.78 - 16.58,41075,9
8,海豚,50292,比亚迪,10.28 - 13.08,48425,9
9,唐新能源,32219,比亚迪,20.58 - 33.98,25873,9
10,AION Y,26023,广汽埃安,13.76 - 20.26,24420,9
11,长安Lumin,24502,长安汽车,4.89 - 6.39,22050,9
12,哪吒V,23656,合众汽车,7.99 - 12.38,22171,9
13,理想L9,19304,理想,45.98 - 45.98,10123,9
14,小蚂蚁,19232,奇瑞新能源,7.39 - 9.40,19329,9
